Sample-#, CA-V, CA-I, CB-V, CB-I 
0.00073, 1.99955070019, 0.0, 0.693457126617, 0.0
0.000735, 1.99962878227, 0.0, 0.353273391724, 0.0
0.00074, 1.99970686436, 0.0, -0.0478607416153, 0.0
0.000745, 1.99955070019, 0.0, -0.40669631958, 0.0
0.00075, 1.99962878227, 0.0, -0.637855648994, 0.0
0.000755, 1.99955070019, 0.0, -0.693577408791, 0.0
0.00076, 1.99955070019, 0.0, -0.571676373482, 0.0
0.000765, 1.99955070019, 0.0, -0.317260503769, 0.0
0.00077, 1.99970686436, 0.0, -0.00485980510712, 0.0
0.000775, 1.99955070019, 0.0, 0.283192157745, 0.0
0.00078, 1.99970686436, 0.0, 0.478218317032, 0.0
0.000785, 1.99978506565, 0.0, 0.539402961731, 0.0
0.00079, 1.99970686436, 0.0, 0.461751461029, 0.0
0.000795, 1.99978506565, 0.0, 0.274841547012, 0.0
0.0008, 1.99986314774, 0.0, 0.0340049266815, 0.0
0.000805, 1.99970686436, 0.0, -0.197154402733, 0.0
0.00081, 1.99978506565, 0.0, -0.361510157585, 0.0
0.000815, 1.99970686436, 0.0, -0.423631310463, 0.0
0.00082, 1.99978506565, 0.0, -0.375635743141, 0.0
0.000825, 1.99986314774, 0.0, -0.23726785183, 0.0
0.00083, 1.99986314774, 0.0, -0.0509823560715, 0.0
0.000835, 1.99970686436, 0.0, 0.132883787155, 0.0
0.00084, 1.99986314774, 0.0, 0.268988609314, 0.0
0.000845, 1.99970686436, 0.0, 0.327363729477, 0.0
0.00085, 1.99986314774, 0.0, 0.299268722534, 0.0
0.000855, 1.99978506565, 0.0, 0.198126792908, 0.0
0.00086, 1.99978506565, 0.0, 0.0551543235779, 0.0
0.000865, 1.99970686436, 0.0, -0.0907835960388, 0.0
0.00087, 1.99978506565, 0.0, -0.20316362381, 0.0
0.000875, 1.99962878227, 0.0, -0.256466031075, 0.0
0.00088, 1.99978506565, 0.0, -0.241560101509, 0.0
0.000885, 1.99970686436, 0.0, -0.167498588562, 0.0
0.00089, 1.99978506565, 0.0, -0.0575379133224, 0.0
0.000895, 1.99970686436, 0.0, 0.0578858852386, 0.0
0.0009, 1.99978506565, 0.0, 0.149662733078, 0.0
0.000905, 1.99970686436, 0.0, 0.19656586647, 0.0
0.00091, 1.99986314774, 0.0, 0.190322637558, 0.0
0.000915, 1.99978506565, 0.0, 0.136708021164, 0.0
0.00092, 1.99986314774, 0.0, 0.0525789260864, 0.0
0.000925, 1.99978506565, 0.0, -0.0384957790375, 0.0
0.00093, 1.99978506565, 0.0, -0.113181591034, 0.0
0.000935, 1.99978506565, 0.0, -0.15407538414, 0.0
0.00094, 1.99986314774, 0.0, -0.153295040131, 0.0
0.000945, 1.99970686436, 0.0, -0.114430308342, 0.0
0.00095, 1.99986314774, 0.0, -0.0500458478928, 0.0
0.000955, 1.99970686436, 0.0, 0.0217523574829, 0.0
0.00096, 1.99978506565, 0.0, 0.0820786952972, 0.0
0.000965, 1.99978506565, 0.0, 0.116807222366, 0.0
0.00097, 1.99986314774, 0.0, 0.119538784027, 0.0
0.000975, 1.99978506565, 0.0, 0.0915217399597, 0.0
0.00098, 1.99986314774, 0.0, 0.0422773361206, 0.0
0.000985, 1.99978506565, 0.0, -0.0138345956802, 0.0
0.00099, 1.99978506565, 0.0, -0.062532544136, 0.0
0.000995, 1.99978506565, 0.0, -0.0921103954315, 0.0
0.001, 1.99986314774, 0.0, -0.0965586900711, 0.0
0.001005, 1.99978506565, 0.0, -0.0765019655228, 0.0
0.00101, 1.99994134903, 0.0, -0.0390419960022, 0.0
0.001015, 1.99978506565, 0.0, 0.00512957572937, 0.0
